time (seconds),"0: ""latitude (degrees)""","1: ""longitude (degrees)""","2: ""gps.speed (kts)""","3: ""gps.course (degrees)""","4: ""gps.numSats ()""","5: ""gps.hdop (m)""","6: ""gps.heading (faked) (degrees)""","7: ""bms.ssr.state ()""","8: ""bms.soc (%)""","9: ""bms.battery.voltage (V)""","10: ""bms.load.voltage (V)""","11: ""bms.current (A)""","12: ""battery.temp.avg (C)""","13: ""battery.temp.high (C)""","14: ""bms.temp.avg (C)""","15: ""bms.temp.high (C)""","16: ""bms.humidity (%)""","17: ""bms.watchdog (s)""","18: ""bms.derate (%)""","19: ""tx.batt.v (V)""","20: ""rx.map.in (pct)""","21: ""rx.command_duty ()""","22: ""rx.status ()""","23: ""rx.msg_num ()""","24: ""rx.delay (ms)""","25: ""rx.rssi ()""","26: ""esc.battery.voltage (Volts)""","27: ""esc.battery.current (Amps)""","28: ""esc.power (Watt)""","29: ""esc.fet.temp (C)""","30: ""esc.erpm (erpm)""","31: ""esc.rpm (rpm)""","32: ""esc.fault ()""","33: ""esc.motor.current (A)""","34: ""esc.motor.temp (C)""","35: ""mech.torque (Nm)""","36: ""mech.power (W)""","37: ""efficiency (%)""","38: ""esc.motor.serial ()""","39: ""esc.motor.serial ()""","40: ""can.errors ()""","41: ""board.water ()""","42: ""pod.depth ()""","43: ""imu.accel.x (g)""","44: ""imu.accel.y (g)""","45: ""imu.accel.z (g)""","46: ""imu.gyro.x (deg/s)""","47: ""imu.gyro.y (deg/s)""","48: ""imu.gyro.z (deg/s)""","49: ""twd (deg)"""
0,59.2045135,18.1777458,0.1,270,9,-1,270,39,0.83,48.368,0,-0.108,23.54000092,23.54000092,21.78000069,24.40999985,33.47000122,-1,100,3.95,0,0,260,68,-1,-1,5.48,14.1,5.204396972,10,0,0,-32765,0.8,13,0,0,0,2359337,1048615,0,0,0,0,0,0,0,0,0,0
0.1,59.2044411,18.1780396,0,105.59,7,-1,105.6,63,0.99,48.368,49.46,-0.108,23.54000092,23.54000092,21.78000069,24.40999985,33.47000122,-1,100,3.95,42,0.098846,3,-37,6,-1,49.31,14,5.204396972,10,0,451,-32765,-0.1,13,0,0,0,2359337,1048615,0,0,0,0,0,0,0,0,0,0
0.2,59.2044411,18.1780396,0,105.59,7,-1,105.6,63,0.99,49.416,49.46,0.377,21.32999992,21.32999992,19.79999924,21.5,39.65999985,-1,100,3.95,42,0.098846,3,-32,7,-1,49.32,14.1,18.6100656,10,0,438,-32765,0.2,11,0,0,0,2359337,1048615,0,0,0,0,0,0,0,0,0,0
0.3,59.2044411,18.1780396,0,105.59,7,-1,105.6,63,0.99,49.416,49.46,0.377,21.32999992,21.32999992,19.79999924,21.5,39.65999985,-1,100,3.95,42,0.098846,3,-28,12,-1,49.31,14.4,18.6100656,10,0,447,-32765,2.9,11,0,0,0,2359337,1048615,0,0,0,0,0,0,0,0,0,0
0.4,59.2044411,18.1780396,0,105.59,7,-1,105.6,63,0.99,49.416,49.46,0.377,21.32999992,21.32999992,19.79999924,21.5,39.65999985,-1,100,4.01,41,0.096497,3,-23,11,-1,49.31,14.4,18.6100656,10,0,450,-32765,3.2,11,0,0,0,2359337,1048615,0,0,0,0,0,0,0,0,0,0
0.5,59.2044411,18.1780396,0,105.59,7,-1,105.6,63,0.99,49.416,49.45,0.377,21.32999992,21.32999992,19.79999924,21.5,39.65999985,-1,100,4.01,41,0.096497,3,-19,0,-1,49.31,13.7,18.6100656,10,0,443,-32765,-3.2,11,0,0,0,2359337,1048615,0,0,0,0,0,0,0,0,0,0
0.6,59.2044411,18.1780396,0,105.59,7,-1,105.6,63,0.99,49.416,49.45,0.377,21.32999992,21.32999992,19.79999924,21.5,39.65999985,-1,100,4.01,42,0.098846,3,-15,22,-1,49.32,13.8,18.6100656,10,0,441,-32765,-2.8,11,0,0,0,2359337,1048615,0,0,0,0,0,0,0,0,0,0
0.7,59.2044411,18.1780396,0,105.59,7,-1,105.6,63,0.99,49.416,49.46,0.43,21.32999992,21.32999992,19.79000092,21.47999954,39.65999985,-1,100,4.01,42,0.098846,3,-11,7,-1,49.31,13.7,21.26864725,10,0,462,-32765,-3.9,11,0,0,0,2359337,1048615,0,0,0,0,0,0,0,0,0,0
0.8,59.2044411,18.1780396,0,105.59,7,-1,105.6,63,0.99,49.416,49.46,0.43,21.32999992,21.32999992,19.79000092,21.47999954,39.65999985,-1,100,4.01,42,0.098846,3,-6,7,-1,49.32,13.9,21.26864725,10,0,459,-32765,-1.9,11,0,0,0,2359337,1048615,0,0,0,0,0,0,0,0,0,0
0.9,59.2044411,18.1780396,0,105.59,7,-1,105.6,63,0.99,49.416,49.46,0.43,21.32999992,21.32999992,19.79000092,21.47999954,39.65999985,-1,100,4.01,41,0.096497,3,-3,15,-1,49.31,14,21.26864725,10,0,456,-32765,-0.6,11,0,0,0,2359337,1048615,0,0,0,0,0,0,0,0,0,0
